자치구,공공체육시설,공연장,도서관,박물관,미술관,영화관
종로구,38,162,50,35,18,9
중구,33,30,56,17,2,9
용산구,40,13,21,7,5,2
성동구,53,8,8,3,2,2
광진구,104,12,10,3,0,5
동대문구,52,3,19,5,0,2
중랑구,115,1,8,0,0,2
성북구,157,12,25,8,1,3
강북구,130,4,12,3,0,3
도봉구,100,5,8,2,0,1
노원구,233,5,23,3,2,5
은평구,49,2,11,2,1,2
서대문구,137,11,20,7,0,4
마포구,125,31,21,6,0,6
양천구,158,3,13,0,0,2
강서구,165,1,17,2,1,5
구로구,156,7,16,1,0,3
금천구,87,5,6,0,0,2
영등포구,86,8,38,3,1,3
동작구,122,2,15,1,0,2
관악구,157,1,10,2,2,2
서초구,203,29,51,4,5,2
강남구,291,39,39,8,4,8
송파구,147,13,20,5,2,3
강동구,67,5,12,1,0,3
