기간	자치구	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설	공공체육시설
기간	자치구	합계	합계	육상경기장	육상경기장	축구장	축구장	하키장	하키장	야구장	야구장	싸이클경기장	싸이클경기장	테니스장	테니스장	간이운동장(동네체육시설)	간이운동장(동네체육시설)	체육관	체육관	체육관	체육관	체육관	체육관	전천후 게이트볼장	전천후 게이트볼장	수영장	수영장	롤러스케이트장	롤러스케이트장	국궁장	국궁장	양궁장	양궁장	골프연습장	골프연습장	빙상장	빙상장	기타	기타
기간	자치구	합계	합계	육상경기장	육상경기장	축구장	축구장	하키장	하키장	야구장	야구장	싸이클경기장	싸이클경기장	테니스장	테니스장	간이운동장(동네체육시설)	간이운동장(동네체육시설)	구기체육관	구기체육관	투기체육관	투기체육관	생활체육관	생활체육관	전천후 게이트볼장	전천후 게이트볼장	수영장	수영장	롤러스케이트장	롤러스케이트장	국궁장	국궁장	양궁장	양궁장	골프연습장	골프연습장	빙상장	빙상장	기타	기타
기간	자치구	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적
2019	합계	3,005	15,238,948.5	3	249,613	74	1,163,412	1	309,317	19	299,994	1	10,672	66	402,057.8	2,476	9,731,854.8	44	428,589.4	3	18,006	100	1,072,404	22	23,720	95	705,590	16	66,951	8	42,898.5	1	2,520	34	210,964	3	34,694	39	465,691
2019	종로구	38	76,402	-	-	1	19,790	-	-	-	-	-	-	1	5,238	28	14,817	-	-	-	-	3	13,396	-	-	3	6,077	-	-	1	16,500	-	-	-	-	-	-	1	584
2019	중구	33	440,503.5	-	-	1	18,968	-	-	1	6,004	-	-	2	17,916	16	348,285	2	10,413	-	-	5	13,671	-	-	2	12,003	-	-	1	1,016.5	-	-	3	12,227	-	-	-	-
2019	용산구	40	122,450.4	-	-	4	47,260	-	-	-	-	-	-	3	12,569	19	35,221	1	2,378.4	-	-	4	5,432	3	4,268	4	5,432	2	9,890	-	-	-	-	-	-	-	-	-	-
2019	성동구	53	198,508	-	-	4	39,954	-	-	1	7,002	-	-	5	9,172	21	83,571	3	15,117	-	-	5	22,831	3	2,110	4	9,323	2	2,500	1	4,025	-	-	-	-	-	-	4	2,903
2019	광진구	104	255,769	-	-	3	26,300	-	-	1	29,036	-	-	3	7,454	76	103,200	1	1,653	-	-	5	34,911	2	2,534	5	37,676	2	4,560	-	-	-	-	2	4,597	-	-	4	3,848
2019	동대문구	52	671,890.8	-	-	-	-	-	-	-	-	-	-	1	1,197.8	43	647,893	1	5,746	-	-	4	12,310	-	-	3	4,744	-	-	-	-	-	-	-	-	-	-	-	-
2019	중랑구	115	399,689	-	-	3	30,037	-	-	1	5,194	-	-	2	7,335	97	115,325	2	44,653	-	-	4	19,687	1	833	3	17,956	-	-	-	-	-	-	1	7,347	-	-	1	151,322
2019	성북구	157	114,875	-	-	2	10,487	-	-	-	-	-	-	2	5,817	141	37,375	1	1,653	-	-	6	13,569	-	-	3	7,985	-	-	-	-	-	-	2	37,989	-	-	-	-
2019	강북구	130	211,164.8	-	-	1	33,027	-	-	-	-	-	-	1	2,142	120	127,562.8	1	1,420	-	-	3	22,446	-	-	3	22,446	-	-	-	-	-	-	1	2,121	-	-	-	-
