기간	자치구	개소수	스크린수	좌석수
2019	합계	90	580	95,098
2019	종로구	9	36	5,252
2019	중구	9	44	7,822
2019	용산구	2	28	5,361
2019	성동구	2	17	2,887
2019	광진구	5	38	5,716
2019	동대문구	2	15	2,822
2019	중랑구	2	14	2,091
2019	성북구	3	8	1,238
2019	강북구	3	21	2,516
2019	도봉구	1	5	680
2019	노원구	5	28	4,568
2019	은평구	2	17	2,956
2019	서대문구	4	22	3,673
2019	마포구	6	31	5,114
2019	양천구	2	17	3,053
2019	강서구	5	35	5,849
2019	구로구	3	25	3,358
2019	금천구	2	14	2,660
2019	영등포구	3	28	5,308
2019	동작구	2	8	978
2019	관악구	2	13	2,181
2019	서초구	2	12	1,601
2019	강남구	8	40	6,619
2019	송파구	3	38	7,017
2019	강동구	3	26	3,778
