기간,자치구,살인,강도,강간강제추행,절도,폭력
2015,종로구,6,11,211,2184,2293
2015,중구,3,9,170,2548,2224
2015,용산구,5,14,194,1557,2050
2015,성동구,4,9,126,1607,1612
2015,광진구,4,14,240,3026,2625
2015,동대문구,5,13,173,1981,2548
2015,중랑구,13,11,187,2135,2847
2015,성북구,5,5,150,1785,2209
2015,강북구,7,14,153,1434,2649
2015,도봉구,3,9,102,1063,1487
2015,노원구,10,7,197,2193,2723
2015,은평구,3,9,166,1914,2653
2015,서대문구,2,5,154,1812,2056
2015,마포구,8,14,294,2555,2983
2015,양천구,3,6,120,1890,2509
2015,강서구,7,13,262,2096,3207
2015,구로구,8,15,281,2335,3007
2015,금천구,3,6,151,1567,2054
2015,영등포구,14,22,295,2964,3572
2015,동작구,5,9,285,1865,1910
2015,관악구,9,12,320,2706,3298
2015,서초구,8,9,393,2635,2399
2015,강남구,13,21,449,3850,4284
2015,송파구,11,13,220,3239,3295
2015,강동구,4,6,156,2366,2712
2016,종로구,6,12,238,1940,2263
2016,중구,3,8,198,2150,2225
2016,용산구,4,9,251,1489,2384
2016,성동구,4,3,104,1296,1619
2016,광진구,4,11,279,2636,2392
2016,동대문구,5,10,190,1940,2642
2016,중랑구,8,14,164,1691,3164
2016,성북구,4,8,154,1470,2108
2016,강북구,7,5,217,1222,2778
2016,도봉구,3,5,123,866,1441
2016,노원구,5,6,159,1857,2516
2016,은평구,6,9,156,1666,2664
2016,서대문구,6,5,175,1503,1976
2016,마포구,4,4,399,2527,2939
2016,양천구,5,7,131,1719,2250
2016,강서구,9,10,275,1952,3204
2016,구로구,9,10,273,1910,3164
2016,금천구,6,7,175,1264,2193
2016,영등포구,13,19,356,2341,3593
2016,동작구,8,7,325,1226,1661
2016,관악구,6,12,322,2103,3235
2016,서초구,5,13,428,2205,2338
2016,강남구,5,39,516,3587,4002
2016,송파구,9,15,234,2543,3289
2016,강동구,4,14,160,1754,2530
2017,종로구,7,10,253,1644,2143
2017,중구,1,9,267,1846,2061
2017,용산구,1,5,327,1346,2381
2017,성동구,1,3,132,1072,1559
2017,광진구,6,13,261,2220,2146
2017,동대문구,11,3,165,1547,2249
2017,중랑구,5,3,172,1533,2858
2017,성북구,7,8,173,1344,1902
2017,강북구,8,7,208,1014,2156
2017,도봉구,1,3,104,633,1258
2017,노원구,4,9,180,1538,2478
2017,은평구,6,4,230,1387,2256
2017,서대문구,4,1,202,1230,1676
2017,마포구,3,8,500,2094,2673
2017,양천구,3,3,138,1590,2148
2017,강서구,11,4,316,1888,2916
2017,구로구,7,8,328,1725,2827
2017,금천구,5,5,240,1141,1874
2017,영등포구,15,5,455,2304,3190
2017,동작구,1,7,396,1226,1700
2017,관악구,8,7,379,1979,3152
2017,서초구,9,13,470,1812,2404
2017,강남구,7,20,607,3130,3956
2017,송파구,6,1,288,2274,3007
2017,강동구,5,10,172,1645,2429
2018,종로구,6,3,236,1483,1962
2018,중구,2,11,207,1855,1955
2018,용산구,1,3,331,1096,1980
2018,성동구,2,5,126,999,1325
2018,광진구,7,2,229,1769,1908
2018,동대문구,2,5,145,1447,2081
2018,중랑구,4,3,174,1526,2581
2018,성북구,7,1,183,1164,1687
2018,강북구,8,7,188,1112,2122
2018,도봉구,1,5,113,781,1349
2018,노원구,5,5,194,1422,2381
2018,은평구,8,1,188,1278,2115
2018,서대문구,5,3,206,1062,1526
2018,마포구,6,6,473,2011,2676
2018,양천구,2,4,120,1384,2005
2018,강서구,11,6,269,1724,2619
2018,구로구,8,9,250,1717,2826
2018,금천구,6,7,200,1168,1912
2018,영등포구,17,8,391,2292,3132
2018,동작구,3,7,288,1151,1651
2018,관악구,9,10,352,2012,2643
2018,서초구,5,5,470,1851,2395
2018,강남구,10,14,600,3004,3885
2018,송파구,5,6,309,2352,3135
2018,강동구,3,7,170,1515,2224
2019,종로구,4,7,238,1515,2082
2019,중구,2,6,195,2202,1922
2019,용산구,3,3,272,999,2036
2019,성동구,6,9,133,970,1394
2019,광진구,4,6,273,1875,1853
2019,동대문구,6,10,168,1531,1977
2019,중랑구,10,4,138,1666,2450
2019,성북구,3,3,176,1082,1613
2019,강북구,6,3,176,1229,2424
2019,도봉구,1,5,90,790,1224
2019,노원구,4,3,184,1498,2464
2019,은평구,3,1,194,1565,2117
2019,서대문구,2,5,175,1226,1535
2019,마포구,2,2,495,2190,2153
2019,양천구,6,2,127,1477,1602
2019,강서구,8,3,306,2050,2557
2019,구로구,10,3,226,1916,2552
2019,금천구,6,10,153,1157,1779
2019,영등포구,10,3,356,2409,3042
2019,동작구,4,1,251,1328,1816
2019,관악구,13,10,408,2223,2674
2019,서초구,5,7,616,2270,2644
2019,강남구,5,5,666,2970,3658
2019,송파구,7,10,273,2416,2992
2019,강동구,6,15,180,1650,2163
