기간,행정구역별,25~34비율
2014,종로구,0.157120912
2014,중구,0.167631967
2014,용산구,0.168682027
2014,성동구,0.170386751
2014,광진구,0.188820139
2014,동대문구,0.167684863
2014,중랑구,0.161160197
2014,성북구,0.155594681
2014,강북구,0.145882214
2014,도봉구,0.142522603
2014,노원구,0.135983592
2014,은평구,0.150575368
2014,서대문구,0.161758518
2014,마포구,0.186428517
2014,양천구,0.136853281
2014,강서구,0.172623142
2014,구로구,0.169887844
2014,금천구,0.166906949
2014,영등포구,0.179296501
2014,동작구,0.186349315
2014,관악구,0.221753515
2014,서초구,0.161289755
2014,강남구,0.173539625
2014,송파구,0.168011325
2014,강동구,0.161165266
2015,종로구,0.155345436
2015,중구,0.165868874
2015,용산구,0.163604387
2015,성동구,0.16678085
2015,광진구,0.185089824
2015,동대문구,0.162576507
2015,중랑구,0.155155033
2015,성북구,0.150051112
2015,강북구,0.139558527
2015,도봉구,0.138472035
2015,노원구,0.131837135
2015,은평구,0.145545567
2015,서대문구,0.158128163
2015,마포구,0.183729927
2015,양천구,0.133610765
2015,강서구,0.169409979
2015,구로구,0.163194781
2015,금천구,0.162667322
2015,영등포구,0.176639677
2015,동작구,0.179008368
2015,관악구,0.217650761
2015,서초구,0.155144064
2015,강남구,0.167111867
2015,송파구,0.162956193
2015,강동구,0.154281805
2016,종로구,0.152215264
2016,중구,0.164282154
2016,용산구,0.161381792
2016,성동구,0.165789277
2016,광진구,0.182298497
2016,동대문구,0.158825531
2016,중랑구,0.152512648
2016,성북구,0.145250283
2016,강북구,0.136233611
2016,도봉구,0.134364151
2016,노원구,0.128684271
2016,은평구,0.14069529
2016,서대문구,0.156264289
2016,마포구,0.181072791
2016,양천구,0.130992332
2016,강서구,0.167999216
2016,구로구,0.157693505
2016,금천구,0.159895387
2016,영등포구,0.175043451
2016,동작구,0.176323119
2016,관악구,0.216266146
2016,서초구,0.150687632
2016,강남구,0.1608435
2016,송파구,0.160378437
2016,강동구,0.150290654
2017,종로구,0.152663205
2017,중구,0.165142318
2017,용산구,0.164892573
2017,성동구,0.166687453
2017,광진구,0.182571488
2017,동대문구,0.157172872
2017,중랑구,0.151601337
2017,성북구,0.142523062
2017,강북구,0.135060152
2017,도봉구,0.132456662
2017,노원구,0.125832549
2017,은평구,0.138859369
2017,서대문구,0.155054334
2017,마포구,0.179528388
2017,양천구,0.12793831
2017,강서구,0.169210282
2017,구로구,0.152853866
2017,금천구,0.160388337
2017,영등포구,0.175233319
2017,동작구,0.173765524
2017,관악구,0.218175606
2017,서초구,0.14715279
2017,강남구,0.155928506
2017,송파구,0.159660773
2017,강동구,0.147634089
2018,종로구,0.153067609
2018,중구,0.16741501
2018,용산구,0.16768942
2018,성동구,0.167444535
2018,광진구,0.183381259
2018,동대문구,0.15648107
2018,중랑구,0.151724746
2018,성북구,0.141677109
2018,강북구,0.134304693
2018,도봉구,0.130894573
2018,노원구,0.124970811
2018,은평구,0.13940894
2018,서대문구,0.156103751
2018,마포구,0.180899112
2018,양천구,0.1261105
2018,강서구,0.169584385
2018,구로구,0.150586336
2018,금천구,0.162486566
2018,영등포구,0.178520813
2018,동작구,0.174261392
2018,관악구,0.224055842
2018,서초구,0.144366366
2018,강남구,0.152866091
2018,송파구,0.160022093
2018,강동구,0.145503797
2019,종로구,0.154235833
2019,중구,0.171018698
2019,용산구,0.170422334
2019,성동구,0.168121458
2019,광진구,0.186973393
2019,동대문구,0.159761227
2019,중랑구,0.153150061
2019,성북구,0.144575849
2019,강북구,0.135356238
2019,도봉구,0.131254264
2019,노원구,0.125197514
2019,은평구,0.142824417
2019,서대문구,0.158953
2019,마포구,0.183439788
2019,양천구,0.126497723
2019,강서구,0.172907686
2019,구로구,0.152078767
2019,금천구,0.167433087
2019,영등포구,0.183193428
2019,동작구,0.178334214
2019,관악구,0.23218269
2019,서초구,0.144355297
2019,강남구,0.152712878
2019,송파구,0.162064385
2019,강동구,0.147337587
