기간,자치구,살인,강도,성폭행,절도,폭력
2014,강남구,2.2281,6.3416,87.7545,667.5853,753.1117
2014,강동구,1.0388,2.0776,30.748,503.8103,582.5501
2014,강북구,1.773,6.2055,55.8494,441.4763,685.5589
2014,강서구,1.3521,1.5212,36.1698,395.6711,459.2219
2014,관악구,1.3159,4.6996,67.8622,569.4037,631.4385
2014,광진구,2.1199,4.2398,65.9821,839.2183,749.3872
2014,구로구,0.6563,3.0626,55.1264,519.9822,600.0468
2014,금천구,2.7129,3.488,62.7834,601.4804,818.5095
2014,노원구,0.8532,1.3651,29.5194,410.1997,464.4607
2014,도봉구,1.6868,3.0924,48.3537,379.5205,445.5852
2014,동대문구,3.1888,3.4545,37.4682,480.7092,634.568
2014,동작구,0.477,2.1466,48.4185,426.2261,445.5459
2014,마포구,1.0105,5.5579,66.9479,698.0269,678.5741
2014,서대문구,0.935,1.2466,57.6574,586.8585,660.4106
2014,서초구,1.3207,3.0817,62.7355,604.6825,551.6324
2014,성동구,0.3291,1.6453,46.3982,576.8516,553.4879
2014,성북구,1.6808,3.3616,34.6667,447.5157,480.5016
2014,송파구,1.3397,1.3397,37.9581,625.0428,525.7564
2014,양천구,1.0189,2.2417,26.2885,419.394,497.0369
2014,영등포구,3.322,2.3728,59.321,730.8346,865.8491
2014,용산구,0.4001,2.801,85.2293,624.2147,807.4778
2014,은평구,0.9936,4.7691,37.3577,467.3686,568.7113
2014,종로구,1.8144,7.2576,136.6847,1374.1049,1516.8376
2014,중구,4.4044,9.5429,162.2292,1890.9614,1772.7763
2014,중랑구,2.5979,3.3065,38.4969,564.4634,655.3916
2015,강남구,2.2346,3.6097,77.1796,661.7849,736.3861
2015,강동구,0.8633,1.295,33.67,510.6611,585.3393
2015,강북구,2.0931,4.1863,45.75,428.7944,792.1035
2015,강서구,1.1751,2.1823,43.9825,351.8603,538.3664
2015,관악구,1.7012,2.2683,60.4879,511.5012,623.4039
2015,광진구,1.0662,3.7315,63.9693,806.5462,699.6642
2015,구로구,1.7598,3.2996,61.812,513.6338,661.4548
2015,금천구,1.1711,2.3422,58.9459,611.7103,801.8207
2015,노원구,1.7294,1.2106,34.07,379.2668,470.9272
2015,도봉구,0.8493,2.5478,28.8755,300.9277,420.9591
2015,동대문구,1.3375,3.4776,46.2785,529.9285,681.6042
2015,동작구,1.2113,2.1804,69.045,451.8211,462.7229
2015,마포구,2.0083,3.5145,73.8043,641.3941,748.8371
2015,서대문구,0.619,1.5475,47.6625,560.8084,636.3257
2015,서초구,1.7728,1.9944,87.0899,583.9232,531.6249
2015,성동구,1.3112,2.9502,41.3027,526.773,528.412
2015,성북구,1.0648,1.0648,31.9448,380.1431,470.4404
2015,송파구,1.648,1.9476,32.9598,485.258,493.6477
2015,양천구,0.6135,1.227,24.5394,386.4952,513.0774
2015,영등포구,3.3508,5.2655,70.6061,709.4117,854.932
2015,용산구,2.0169,5.6472,78.2545,628.053,826.9163
2015,은평구,0.5969,1.7908,33.0297,380.8364,527.8783
2015,종로구,3.6625,6.7146,128.7983,1333.1543,1399.6899
2015,중구,2.2333,6.7,126.555,1896.8354,1655.6365
2015,중랑구,3.1054,2.6277,44.6706,510.0091,680.0917
2016,강남구,0.8739,6.8165,90.1877,626.9445,699.4791
2016,강동구,0.8919,3.1217,35.6768,391.1067,564.139
2016,강북구,2.1167,1.5119,65.6176,369.5147,840.0261
2016,강서구,1.4948,1.6608,45.6732,324.1965,532.134
2016,관악구,1.1415,2.2831,61.2625,400.1088,615.4789
2016,광진구,1.075,2.9562,74.979,708.4041,642.831
2016,구로구,2.0018,2.2242,60.7206,424.8221,703.7367
2016,금천구,2.3561,2.7488,68.7207,496.3598,861.1685
2016,노원구,0.8753,1.0504,27.8355,325.0982,440.4669
2016,도봉구,0.8565,1.4275,35.1156,247.2364,411.3946
2016,동대문구,1.3502,2.7004,51.3081,523.8826,713.4524
2016,동작구,1.9359,1.6939,78.6455,296.6749,401.9388
2016,마포구,1.0233,1.0233,102.0755,646.4784,751.8797
2016,서대문구,1.8412,1.5343,53.7022,461.2255,606.3749
2016,서초구,1.1075,2.8794,94.8,488.397,517.8558
