"","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
"강남구",0,0.000687913043022001,0.0102390150407861,0.000290466647170542,4.89735647071483e-05,0.0063192438017858,0.00013234347505335,0.00377304383629642,0.000438526596784543,0.000179671742623686,0.00298616613552204,0.000671729959171726,0.0025893927022865,0.000122301858534442,0.00508876535800761,0.00315783935362956,0.000651858396481041,0.00991982064103485,0.000863233374725081,0.000586282939279604,0.00198654830595708,0.00098445114978997,0.000168571298159044,0.00400713765110349,0.000625054160679738
"강동구",0.000687913043022001,0,0.00897106000806955,0.000117474197120533,0.000627071978379426,0.00734878888484354,0.000261622677392288,0.00292547850136694,6.37069591698103e-05,0.000552396619670053,0.00183875549031813,0.00152920358656109,0.00348835647917983,0.00027804151871323,0.00653372713963587,0.00386683285466875,0.000614866689735377,0.0109167634781949,6.43515168159593e-05,0.000111720068907155,0.00200566245295242,0.000313944705655838,0.000434197256747084,0.00491887345321892,5.56154470538904e-06
"강북구",0.0102390150407861,0.00897106000806955,0,0.00846574310541102,0.011392433500776,0.0320812598288898,0.00875780366904444,0.00166943127791006,0.0101646177696405,0.0077168847685178,0.00271568834012586,0.0160128264721798,0.0227303080990964,0.0104078953582102,0.029658245117134,0.0240701875447646,0.0139147349614106,0.0395039666632927,0.00753005706006544,0.00735581522735813,0.0032351388239462,0.00596357234752654,0.0117316210599584,0.0265349676596469,0.00864164106292226
"강서구",0.000290466647170542,0.000117474197120533,0.00846574310541102,0,0.00033080435169331,0.00753448470392074,3.42383667896617e-05,0.00261773433891536,0.00011029435327208,0.000164455992651105,0.00175128726307709,0.00129764717664023,0.00346839719433789,0.000115146753879692,0.00647871626304694,0.00396465869864258,0.000681534185496362,0.0112960013708465,0.000154647177138766,6.0044636721575e-05,0.00147484720428739,0.000270141811063467,0.00028571339664644,0.00500366047121943,7.93987749987254e-05
"관악구",4.89735647071483e-05,0.000627071978379426,0.011392433500776,0.00033080435169331,0,0.00533660373853067,0.000194884324348561,0.00442199746534215,0.000332300580775578,0.000363468877873316,0.00345018898376073,0.000391048541074173,0.00197752972620674,7.2614514247242e-05,0.0042648183899077,0.00245798542703537,0.000356213405964494,0.00866381321210071,0.000896810009406201,0.000671935842250268,0.00255311498947442,0.00116045065457826,4.78723308089448e-05,0.00323027885860677,0.000595633260126141
"광진구",0.0063192438017858,0.00734878888484354,0.0320812598288898,0.00753448470392074,0.00533660373853067,0,0.00728231714967781,0.0190754265126453,0.00618392921765346,0.00847733436779734,0.0164434935517,0.00287155871875567,0.000818173758165224,0.00590205419472486,0.000149326932787885,0.000566665695258709,0.00374648789272721,0.000406785741158923,0.00878056098175557,0.00872898229465856,0.0152658129626421,0.0104478517824337,0.0049772616131218,0.00026261163932744,0.00757644350693445
"구로구",0.00013234347505335,0.000261622677392288,0.00875780366904444,3.42383667896617e-05,0.000194884324348561,0.00728231714967781,0,0.0028118416455621,0.000185315750841085,7.98690533178025e-05,0.00200780906233684,0.00109688380114505,0.00324985154575895,7.53544465377418e-05,0.00613833440072788,0.00378890909487969,0.000676924162764494,0.0110471707141955,0.000324557217531441,0.0001624174328407,0.00147570153074754,0.000411709659027055,0.000218167860704483,0.00478149452614032,0.000209668397267899
"금천구",0.00377304383629642,0.00292547850136694,0.00166943127791006,0.00261773433891536,0.00442199746534215,0.0190754265126453,0.0028118416455621,0,0.0035957024551746,0.00230688608732963,0.000176790206753585,0.0074165408812971,0.012096690679161,0.00375755447503109,0.0172884481569953,0.0130450934730017,0.00593895679765573,0.0248467120461771,0.00214160290554058,0.00201598049946864,0.000399244302096136,0.00133734250027617,0.00457212310605084,0.0148794600482465,0.00272931654179071
"노원구",0.000438526596784543,6.37069591698103e-05,0.0101646177696405,0.00011029435327208,0.000332300580775578,0.00618392921765346,0.000185315750841085,0.0035957024551746,0,0.000500509636712937,0.0024500856739212,0.000969209511269239,0.00265583902261936,0.000103939178002406,0.00537286213942245,0.00301868661878966,0.000304044987338955,0.00954470316385483,0.000235212144256155,0.000227649114473121,0.00235918857855891,0.000561552518283307,0.00017322902310072,0.00395090533366942,7.38265290421942e-05
"도봉구",0.000179671742623686,0.000552396619670053,0.0077168847685178,0.000164455992651105,0.000363468877873316,0.00847733436779734,7.98690533178025e-05,0.00230688608732963,0.000500509636712937,0,0.00173943532934275,0.00150515226342755,0.00403365501224337,0.000279803112911253,0.00711603524193822,0.0046883769724161,0.00117979564152481,0.0125568083905383,0.000517461684336039,0.000266609546397331,0.000990065189606201,0.000432455298516327,0.000495140636125503,0.00575153644811197,0.000458432594714697
"동대문구",0.00298616613552204,0.00183875549031813,0.00271568834012586,0.00175128726307709,0.00345018898376073,0.0164434935517,0.00200780906233684,0.000176790206753585,0.0024500856739212,0.00173943532934275,0,0.0060467072311814,0.0101296095404724,0.00275308914160846,0.0149760681743393,0.0109042337597022,0.00447599776793268,0.0217135815517753,0.00121689576778672,0.00120890561378149,0.000493192908570293,0.000678449442317149,0.00344761305005857,0.0126135085535699,0.00170425268846834
"동작구",0.000671729959171726,0.00152920358656109,0.0160128264721798,0.00129764717664023,0.000391048541074173,0.00287155871875567,0.00109688380114505,0.0074165408812971,0.000969209511269239,0.00150515226342755,0.0060467072311814,0,0.00062719097316944,0.000640798781745562,0.00207250006361251,0.000936223878661584,0.000308948901063423,0.00543292364850687,0.00211657798649621,0.00189732749370444,0.00493891571750672,0.00273378949739077,0.000368382860811615,0.00140203767148826,0.00155724648256862
"마포구",0.0025893927022865,0.00348835647917983,0.0227303080990964,0.00346839719433789,0.00197752972620674,0.000818173758165224,0.00324985154575895,0.012096690679161,0.00265583902261936,0.00403365501224337,0.0101296095404724,0.00062719097316944,0,0.00236579501121757,0.000475534251162573,4.42714020220696e-05,0.00117354584182708,0.00237158632615914,0.00446615301938395,0.00433790441490995,0.00902244838198601,0.00557398989069891,0.00178944523042886,0.000155688853641331,0.00361225290832203
"서대문구",0.000122301858534442,0.00027804151871323,0.0104078953582102,0.000115146753879692,7.2614514247242e-05,0.00590205419472486,7.53544465377418e-05,0.00375755447503109,0.000103939178002406,0.000279803112911253,0.00275308914160846,0.000640798781745562,0.00236579501121757,0,0.00491056908056063,0.00281161056908284,0.000312656854573031,0.00931722781947543,0.000476551410554947,0.000337506749829409,0.00221041496704238,0.000734553188867064,4.09567853280366e-05,0.00368045061492632,0.000257231326190019
"서초구",0.00508876535800761,0.00653372713963587,0.029658245117134,0.00647871626304694,0.0042648183899077,0.000149326932787885,0.00613833440072788,0.0172884481569953,0.00537286213942245,0.00711603524193822,0.0149760681743393,0.00207250006361251,0.000475534251162573,0.00491056908056063,0,0.000382061442537131,0.003137447246876,0.000941443490771781,0.0078539988419653,0.00766664182472626,0.013430155365984,0.00929671528617559,0.00406525003826248,0.000147422285719926,0.00670404257364364
"성동구",0.00315783935362956,0.00386683285466875,0.0240701875447646,0.00396465869864258,0.00245798542703537,0.000566665695258709,0.00378890909487969,0.0130450934730017,0.00301868661878966,0.0046883769724161,0.0109042337597022,0.000936223878661584,4.42714020220696e-05,0.00281161056908284,0.000382061442537131,0,0.00140757636798101,0.00189388659323403,0.00491463396839546,0.0048486336696078,0.00996641350689573,0.00615209385553876,0.00218772396464995,6.33063672076302e-05,0.00402061502465836
"성북구",0.000651858396481041,0.000614866689735377,0.0139147349614106,0.000681534185496362,0.000356213405964494,0.00374648789272721,0.000676924162764494,0.00593895679765573,0.000304044987338955,0.00117979564152481,0.00447599776793268,0.000308948901063423,0.00117354584182708,0.000312656854573031,0.003137447246876,0.00140757636798101,0,0.00645984006447206,0.0010637889853659,0.00104137631510588,0.00412239506119746,0.00167817580020416,0.000160690427788655,0.00206396482931587,0.000671383476532339
"송파구",0.00991982064103485,0.0109167634781949,0.0395039666632927,0.0112960013708465,0.00866381321210071,0.000406785741158923,0.0110471707141955,0.0248467120461771,0.00954470316385483,0.0125568083905383,0.0217135815517753,0.00543292364850687,0.00237158632615914,0.00931722781947543,0.000941443490771781,0.00189388659323403,0.00645984006447206,0,0.0126607392661527,0.012693931421144,0.0205933139378758,0.0147369742399963,0.00815462991543753,0.00131372178290302,0.0112244941386125
"양천구",0.000863233374725081,6.43515168159593e-05,0.00753005706006544,0.000154647177138766,0.000896810009406201,0.00878056098175557,0.000324557217531441,0.00214160290554058,0.000235212144256155,0.000517461684336039,0.00121689576778672,0.00211657798649621,0.00446615301938395,0.000476551410554947,0.0078539988419653,0.00491463396839546,0.0010637889853659,0.0126607392661527,0,4.44939774296853e-05,0.00146640077024527,0.000105905721236301,0.000733167560958268,0.00609128630109329,4.56563619892572e-05
"영등포구",0.000586282939279604,0.000111720068907155,0.00735581522735813,6.0044636721575e-05,0.000671935842250268,0.00872898229465856,0.0001624174328407,0.00201598049946864,0.000227649114473121,0.000266609546397331,0.00120890561378149,0.00189732749370444,0.00433790441490995,0.000337506749829409,0.00766664182472626,0.0048486336696078,0.00104137631510588,0.012693931421144,4.44939774296853e-05,0,0.00118031694956202,8.60171354879753e-05,0.000594587411963682,0.00600472744259518,6.83563175328531e-05
"용산구",0.00198654830595708,0.00200566245295242,0.0032351388239462,0.00147484720428739,0.00255311498947442,0.0152658129626421,0.00147570153074754,0.000399244302096136,0.00235918857855891,0.000990065189606201,0.000493192908570293,0.00493891571750672,0.00902244838198601,0.00221041496704238,0.013430155365984,0.00996641350689573,0.00412239506119746,0.0205933139378758,0.00146640077024527,0.00118031694956202,0,0.000805037963980655,0.00282059494834696,0.0115129864915777,0.00181017921622915
"은평구",0.00098445114978997,0.000313944705655838,0.00596357234752654,0.000270141811063467,0.00116045065457826,0.0104478517824337,0.000411709659027055,0.00133734250027617,0.000561552518283307,0.000432455298516327,0.000678449442317149,0.00273378949739077,0.00557398989069891,0.000734553188867064,0.00929671528617559,0.00615209385553876,0.00167817580020416,0.0147369742399963,0.000105905721236301,8.60171354879753e-05,0.000805037963980655,0,0.00109636167939781,0.007448688712248,0.000251334008905644
"종로구",0.000168571298159044,0.000434197256747084,0.0117316210599584,0.00028571339664644,4.78723308089448e-05,0.0049772616131218,0.000218167860704483,0.00457212310605084,0.00017322902310072,0.000495140636125503,0.00344761305005857,0.000368382860811615,0.00178944523042886,4.09567853280366e-05,0.00406525003826248,0.00218772396464995,0.000160690427788655,0.00815462991543753,0.000733167560958268,0.000594587411963682,0.00282059494834696,0.00109636167939781,0,0.00295712070874056,0.000431697870272711
"중구",0.00400713765110349,0.00491887345321892,0.0265349676596469,0.00500366047121943,0.00323027885860677,0.00026261163932744,0.00478149452614032,0.0148794600482465,0.00395090533366942,0.00575153644811197,0.0126135085535699,0.00140203767148826,0.000155688853641331,0.00368045061492632,0.000147422285719926,6.33063672076302e-05,0.00206396482931587,0.00131372178290302,0.00609128630109329,0.00600472744259518,0.0115129864915777,0.007448688712248,0.00295712070874056,0,0.0050897356999944
