역명,유임승차,유임하차,무임승차,무임하차
서울역 1호선,940626,895079,167011,157750
동묘앞 1호선,125090,135698,147152,148689
시청 1호선,467000,474137,62924,60632
종각 1호선,750908,723834,109314,102698
종로3가 1호선,422442,381584,254584,237533
종로5가 1호선,351949,356541,235999,226953
동대문 1호선,207895,196340,109361,107958
신설동 1호선,265105,261558,103890,100138
제기동 1호선,223795,218307,250926,267958
청량리(서울시립대입구) 1호선,319366,315775,244924,243448
시청 2호선,520875,501060,43943,39344
을지로입구 2호선,877116,895525,82725,77040
을지로3가 2호선,467667,461198,65659,64268
을지로4가 2호선,244564,244048,76757,75757
동대문역사문화공원(DDP) 2호선,267428,301421,47407,49636
신당 2호선,286860,299008,85096,87273
상왕십리 2호선,314312,301810,59230,59694
왕십리(성동구청) 2호선,388207,313802,45372,38609
한양대 2호선,204932,220934,10734,11229
뚝섬 2호선,539485,573200,52309,52562
성수 2호선,790471,872482,92269,94488
건대입구 2호선,864575,911329,78455,81640
구의(광진구청) 2호선,526422,516653,87676,90279
강변(동서울터미널) 2호선,718595,709465,97902,95913
잠실나루 2호선,297597,290178,69297,69962
잠실(송파구청) 2호선,1624364,1599065,152712,145933
잠실새내 2호선,464436,466931,85569,85484
종합운동장 2호선,177486,194279,34621,35791
삼성(무역센터) 2호선,1174516,1199199,93401,85870
선릉 2호선,1176163,1052733,191957,170695
역삼 2호선,1095092,1213606,139197,139450
강남 2호선,2003912,1986812,150524,134196
교대(법원.검찰청) 2호선,729482,821904,126391,141108
서초 2호선,491890,472631,65070,63837
방배 2호선,382495,402793,62723,62272
사당 2호선,816678,916038,148181,144045
낙성대(강감찬) 2호선,642049,616747,91945,94375
서울대입구(관악구청) 2호선,1107482,1088998,159674,152751
봉천 2호선,521388,476953,124419,124604
신림 2호선,1493034,1437771,192577,195551
신대방 2호선,602766,584550,111275,112598
구로디지털단지 2호선,1436946,1436828,147969,149888
대림(구로구청) 2호선,566208,579845,104431,107854
신도림 2호선,1150903,1136605,166864,157631
문래 2호선,481698,496970,66275,65594
영등포구청 2호선,500141,510178,90836,90173
당산 2호선,451395,524823,52929,57880
합정 2호선,757915,800115,59052,58799
홍대입구 2호선,1322219,1386857,84404,80252
신촌 2호선,752290,778908,105550,103403
이대 2호선,284417,295868,40587,41262
아현 2호선,223140,214147,56653,55954
충정로(경기대입구) 2호선,216923,230855,41008,41476
용답 2호선,56619,57734,16085,15685
신답 2호선,33190,38396,8235,9055
신설동 2호선,65643,63682,28881,30154
