역명,이용승객수,위도,경도
서울역 1호선,2160466,37.555946,126.972317
동묘앞 1호선,556629,37.573246,127.016589
시청 1호선,1064693,37.5657037,126.9768616
종각 1호선,1686754,37.570176,126.983197
종로3가 1호선,1296143,37.570436,126.992148
종로5가 1호선,1171442,37.5708307,127.0023506
동대문 1호선,621554,37.5720069,127.0109662
신설동 1호선,730691,37.575326,127.0248495
제기동 1호선,960986,37.5781758,127.0345907
청량리(서울시립대입구) 1호선,1123513,37.581381,127.048958
시청 2호선,1105222,37.5657037,126.9768616
을지로입구 2호선,1932406,37.566065,126.982679
을지로3가 2호선,1058792,37.566288,126.991051
을지로4가 2호선,641126,37.566621,126.997733
동대문역사문화공원(DDP) 2호선,665892,37.565682,127.008953
신당 2호선,758237,37.565669,127.019452
상왕십리 2호선,735046,37.564321,127.029463
왕십리(성동구청) 2호선,785990,37.561949,127.038485
한양대 2호선,447829,37.5555961,127.0436859
뚝섬 2호선,1217556,37.547206,127.047405
성수 2호선,1849710,37.5445797,127.0559678
건대입구 2호선,1935999,37.540372,127.069276
구의(광진구청) 2호선,1221030,37.5472019,127.0899102
강변(동서울터미널) 2호선,1621875,37.535098,127.094695
잠실나루 2호선,727034,37.520669,127.103839
잠실(송파구청) 2호선,3522074,37.5132612,127.1001336
잠실새내 2호선,1102420,37.511624,127.085585
종합운동장 2호선,442177,37.511037,127.073674
삼성(무역센터) 2호선,2552986,37.508861,127.063149
선릉 2호선,2591548,37.504487,127.048957
역삼 2호선,2587345,37.5007694,127.0368262
강남 2호선,4275444,37.497952,127.027619
교대(법원.검찰청) 2호선,1818885,37.4934705,127.0142285
서초 2호선,1093428,37.49184,127.007688
방배 2호선,910283,37.4814698,126.9976718
사당 2호선,2024942,37.4765394,126.9816401
낙성대(강감찬) 2호선,1445116,37.477117,126.963418
서울대입구(관악구청) 2호선,2508905,37.48121,126.952712
봉천 2호선,1247364,37.482476,126.941574
신림 2호선,3318933,37.484269,126.929676
신대방 2호선,1411189,37.487519,126.913282
구로디지털단지 2호선,3171631,37.485215,126.901594
대림(구로구청) 2호선,1358338,37.4925043,126.8949615
신도림 2호선,2612003,37.5088099,126.8912061
문래 2호선,1110537,37.517989,126.894808
영등포구청 2호선,1191328,37.5248203,126.8959946
당산 2호선,1087027,37.5340278,126.9019901
합정 2호선,1675881,37.5495753,126.9139908
홍대입구 2호선,2873732,37.557527,126.9244669
신촌 2호선,1740151,37.5551357,126.9368898
이대 2호선,662134,37.556761,126.945857
아현 2호선,549894,37.557388,126.956132
충정로(경기대입구) 2호선,530262,37.560055,126.963672
용답 2호선,146123,37.562178,127.050853
신답 2호선,88876,37.569889,127.04701
신설동 2호선,188360,37.5760865,127.0245591
도림천 2호선,75668,37.51447,126.88264
양천구청 2호선,368396,37.5169508,126.8665644
신정네거리 2호선,564318,37.520209,126.852796
용두(동대문구청) 2호선,126177,37.573927,127.038653
지축 3호선,208890,37.648114,126.913746
구파발 3호선,1074095,37.636747,126.9188346
연신내 3호선,1965286,37.6186344,126.9206386
불광 3호선,924615,37.6105025,126.9298435
녹번 3호선,746392,37.6009184,126.9357503
홍제 3호선,923960,37.5877907,126.946841
무악재 3호선,209169,37.582634,126.950134
독립문 3호선,404186,37.574453,126.957918
경복궁(정부서울청사) 3호선,1013462,37.5758199,126.9730579
안국 3호선,1036273,37.576565,126.98549
종로3가 3호선,546391,37.570436,126.992148
을지로3가 3호선,527029,37.566288,126.991051
충무로 3호선,0,37.560997,126.994728
동대입구 3호선,448360,37.558126,127.005316
약수 3호선,676699,37.5543795,127.0110164
금호 3호선,429479,37.5480381,127.0158826
옥수 3호선,506452,37.54042,127.01854
압구정 3호선,1698972,37.52633,127.028513
신사 3호선,1629130,37.5162873,127.0200228
잠원 3호선,257543,37.5140695,127.0076626
고속터미널 3호선,2262541,37.5049142,127.0049151
교대(법원.검찰청) 3호선,585149,37.4934705,127.0142285
남부터미널(예술의전당) 3호선,1522747,37.484918,127.01629
양재(서초구청) 3호선,2063345,37.484102,127.034369
매봉 3호선,622700,37.4873542,127.0481879
도곡 3호선,292512,37.4905166,127.0551068
대치 3호선,568868,37.494577,127.063462
학여울 3호선,124884,37.496683,127.070549
대청 3호선,491736,37.4935451,127.0795449
일원 3호선,498206,37.483869,127.084032
수서 3호선,920510,37.4874685,127.1013245
가락시장 3호선,472052,37.49222,127.117692
경찰병원 3호선,386390,37.495701,127.124206
오금 3호선,308531,37.5020632,127.1280374
수유(강북구청) 4호선,1824986,37.6371095,127.0247325
미아(서울사이버대학) 4호선,800581,37.6297467,127.0272966
미아사거리 4호선,1479046,37.613259,127.030102
길음 4호선,1062982,37.6032254,127.0249647
성신여대입구(돈암) 4호선,1050531,37.59235,127.016376
한성대입구(삼선교) 4호선,735728,37.588374,127.005907
혜화 4호선,1651073,37.58217,127.001893
동대문 4호선,1075651,37.57142,127.009745
동대문역사문화공원(DDP) 4호선,737080,37.565682,127.008953
충무로 4호선,1339423,37.560997,126.994728
명동 4호선,937068,37.560918,126.985865
회현(남대문시장) 4호선,1271229,37.5547125,126.9707878
서울역 4호선,668759,37.555946,126.972317
숙대입구(갈월) 4호선,678212,37.546241,126.971637
삼각지 4호선,273241,37.5350315,126.9734515
신용산 4호선,817355,37.529196,126.967903
이촌(국립중앙박물관) 4호선,419808,37.522379,126.973651
동작(현충원) 4호선,156122,37.5028909,126.9803302
총신대입구(이수) 4호선,1055431,37.486491,126.981876
사당 4호선,1213171,37.476559,126.981633
남태령 4호선,63059,37.464237,126.989097
당고개 4호선,669798,37.67026,127.079011
상계 4호선,993428,37.6608862,127.0735708
노원 4호선,1078552,37.654527,127.060551
창동 4호선,1417003,37.6529688,127.0467423
쌍문 4호선,1510539,37.6482236,127.0343875
서울역 경부선,199414,37.555946,126.972317
남영 경부선,510154,37.540597,126.971171
용산 경부선,1778151,37.5298837,126.9648019
노량진 경부선,481561,37.514082,126.941687
대방 경부선,691829,37.5125541,126.9263706
영등포 경부선,2122152,37.5154133,126.9071288
신도림 경부선,226802,37.5088099,126.8912061
신길 경부선,471716,37.517346,126.9164095
구로 경부선,1028297,37.4893223,126.8789743
가산디지털단지 경부선,981402,37.48089,126.8825735
금천구청 경부선,641176,37.455645,126.894003
석수 경부선,510287,37.435161,126.902233
관악 경부선,393163,37.419578,126.908476
안양 경부선,1329593,37.4026846,126.9220496
명학 경부선,472064,37.3900837,126.9305068
금정 경부선,1418545,37.372237,126.9434895
군포 경부선,396802,37.354006,126.948539
의왕 경부선,477892,37.320648,126.948099
성균관대 경부선,783689,37.300344,126.97086
화서 경부선,396530,37.28399,126.989581
수원 경부선,2044759,37.2664398,126.9994077
독산 경부선,877306,37.4659942,126.8895083
세류 경부선,161704,37.2441023,127.0137721
병점 경부선,775855,37.206821,127.033268
세마 경부선,140459,37.1878476,127.0430124
오산대 경부선,193073,37.1703135,127.0600685
오산 경부선,550582,37.14581,127.067125
진위 경부선,81413,37.109771,127.062342
송탄 경부선,238111,37.075533,127.054377
서정리 경부선,363740,37.057003,127.053294
지제 경부선,160425,37.018822,127.070269
평택 경부선,689012,36.991145,127.084981
성환 경부선,208085,36.916675,127.126936
직산 경부선,42217,36.870921,127.143774
두정 경부선,315373,36.833791,127.148905
천안 경부선,306768,36.810144,127.1466733
당정 경부선,325878,37.34338,126.948388
서동탄 경부선,77941,37.195683,127.051904
광명 경부선,162160,37.4784878,126.8642888
개봉 경인선,1176243,37.494698,126.858504
오류동 경인선,639739,37.4757756,126.6169812
역곡 경인선,1507167,37.4851398,126.8116223
부천 경인선,1833309,37.4757756,126.6169812
송내 경인선,1467904,37.487626,126.753045
부평 경인선,1749882,37.4903861,126.7236421
백운 경인선,389450,37.483301,126.707179
동암 경인선,843153,37.470869,126.702884
주안 경인선,996173,37.4650414,126.6807024
제물포 경인선,572389,37.4757756,126.6169812
동인천 경인선,752031,37.475414,126.632598
인천 경인선,193187,37.4757756,126.6169812
구일 경인선,381711,37.496261,126.86959
소사 경인선,509763,37.482755,126.795654
부개 경인선,449672,37.4757756,126.6169812
간석 경인선,316024,37.4611538,126.6981942
도원 경인선,178719,37.46871,126.642611
온수(성공회대입구) 경인선,370888,37.4921505,126.8236345
중동 경인선,482132,37.4757756,126.6169812
도화 경인선,222447,37.466128,126.6685204
이촌(국립중앙박물관) 경원선,187222,37.5238506,126.9804702
서빙고 경원선,98611,37.519619,126.988375
한남 경원선,213778,38.2097736,127.2167422
옥수 경원선,2659,37.540514,127.018698
응봉 경원선,101001,37.5504328,127.0348241
왕십리(성동구청) 경원선,784449,37.561949,127.038485
청량리(서울시립대입구) 경원선,857752,37.581381,127.048958
외대앞 경원선,387182,37.595518,127.059615
신이문 경원선,441857,37.601829,127.067347
석계 경원선,471213,37.6150815,127.0657675
광운대 경원선,460431,37.6237325,127.061817
월계 경원선,351278,37.633114,127.058835
녹천 경원선,235787,37.6456716,127.0556788
창동 경원선,0,37.65276,127.047945
방학 경원선,516750,37.66747,127.044295
도봉 경원선,321162,37.679441,127.045521
도봉산 경원선,412224,37.9977059,127.0721424
망월사 경원선,417881,37.710507,127.04738
회룡 경원선,672925,37.724522,127.0472035
의정부 경원선,1022741,37.7387295,127.0458908
가능 경원선,350606,37.748362,127.044251
녹양 경원선,244401,37.9331042,127.0630591
양주 경원선,415360,37.926664,127.054992
덕계 경원선,156961,38.0270365,127.0650613
덕정 경원선,314452,37.843216,127.061511
지행 경원선,351328,37.892369,127.055757
동두천중앙 경원선,172005,37.901673,127.056409
보산 경원선,89699,37.914277,127.057158
동두천 경원선,133345,37.926664,127.054992
소요산 경원선,183807,37.947099,127.060681
산본 안산선,888859,37.358019,126.932969
대야미 안산선,268151,37.328304,126.91716
