기간	자치구	계	국립도서관	공공도서관	대학도서관	전문도서관
2019	합계	529	3	180	88	258
2019	종로구	50	-	7	7	36
2019	중구	56	-	5	2	49
2019	용산구	21	-	4	3	14
2019	성동구	8	-	6	2	-
2019	광진구	10	-	4	3	3
2019	동대문구	19	-	5	4	10
2019	중랑구	8	-	5	2	1
2019	성북구	25	-	12	8	5
2019	강북구	12	-	7	3	2
2019	도봉구	8	-	7	1	-
2019	노원구	23	-	11	7	5
2019	은평구	11	-	8	1	2
2019	서대문구	20	-	4	11	5
2019	마포구	21	-	6	2	13
2019	양천구	13	-	9	-	4
2019	강서구	17	-	9	4	4
2019	구로구	16	-	11	3	2
2019	금천구	6	-	4	1	1
2019	영등포구	38	1	5	2	30
2019	동작구	15	-	6	5	4
2019	관악구	10	-	5	3	2
2019	서초구	51	2	7	8	34
2019	강남구	39	-	13	3	23
2019	송파구	20	-	12	2	6
2019	강동구	12	-	8	1	3
