지하철역,4승,4하,5승,5하,6승,6하,7승,7하,8승,8하,9승,9하,10승,10하,11승,11하,12승,12하,13승,13하,14승,14하,15승,15하,16승,16하,17승,17하,18승,18하,19승,19하,20승,20하,21승,21하,22승,22하,23승,23하,24승,24하,1승,1하,2승,2하,3승,3하
1호선 서울역,668,19,9048,5684,11314,32628,35812,85372,56518,181087,41700,117196,40292,58642,46987,48646,55219,49128,57982,50513,50787,46957,63899,50613,73143,51859,119244,60858,179534,68987,88032,44945,56841,29875,64132,25504,42922,21173,9712,7559,9,487,0,0,0,0,0,0
1호선 동묘앞,73,1,2888,815,3453,4739,5946,9283,9005,25504,7258,16394,8616,18134,12862,24690,19902,29578,24943,32291,29116,31336,33409,25710,34608,18293,30123,13350,23718,10289,9583,6497,5446,4499,5526,4414,4056,5835,1164,2317,2,1127,1,2,0,0,0,0
1호선 시청,20,0,1722,3784,2707,18444,6099,60071,7574,162609,7807,73107,8733,29152,13520,28131,14773,24956,18586,24910,23361,20427,31405,17893,37636,15597,66659,15937,134147,16229,49165,7780,38466,4360,38036,3789,27307,3393,3716,1242,2,72,0,0,0,0,0,0
1호선 종각,147,1,2181,4199,2947,21373,5269,93962,8253,210534,9686,126119,13850,51465,22062,44373,26628,40338,33614,41768,40676,35756,51502,30154,58736,29477,109692,33461,185098,39021,84456,18883,68215,7148,83490,4557,65079,3678,6368,1341,17,149,0,0,0,0,0,0
1호선 종로3가,147,29,2834,3189,2790,10922,4327,24475,7531,68562,10178,70576,17593,56799,29836,57990,36966,57127,45604,57331,51205,51948,57581,42757,62604,36250,71746,32015,94927,33198,58745,15270,41206,5904,49567,4697,42977,4530,5040,1924,23,395,0,0,0,0,0,0
1호선 종로5가,106,1,1780,3491,2397,15045,4574,38776,7282,106368,10177,62287,17191,50371,25721,49707,33665,48261,40120,45154,47725,43616,52879,37774,58133,29487,72693,24756,100297,20803,48658,10994,31266,4922,28500,3959,18780,3759,2786,1902,6,259,0,0,0,1,0,0
1호선 동대문,607,10,12572,1965,8945,6697,14117,11879,18264,24742,16256,21527,14922,19905,16432,21374,19996,22437,21041,20567,22463,20556,23856,18944,24293,17433,24623,17653,23631,18403,16015,19583,13055,12874,13348,9660,11533,10767,2932,8508,9,1251,1,0,0,0,0,0
1호선 신설동,361,13,7927,2898,7826,9755,17350,25202,23710,62892,15735,32839,14025,20785,16312,18083,18014,18764,20454,18692,20622,17517,22057,17769,29203,18239,39303,20986,57249,26045,22193,18622,14258,11462,14188,10640,10358,11887,2191,5072,9,308,1,1,0,0,0,0
1호선 제기동,373,6,4650,2053,7789,7776,21328,18137,29637,41168,20567,34379,23281,37320,32492,43383,38552,43264,42160,43418,45125,46828,47361,40047,42924,30300,41565,24656,38942,25650,17617,18127,11054,11377,9500,9881,7832,11547,1989,4553,8,271,0,0,0,0,0,0
1호선 청량리(서울시립대입구),1015,15,9682,4140,14053,19319,36259,16663,44413,35386,30533,31168,29734,34211,32768,38000,37906,39996,40813,40513,42549,45943,46233,43847,52059,39030,48333,38732,42593,47171,23135,32601,16447,18457,12798,17624,9152,19324,2075,6621,13,754,0,0,0,0,0,0
2호선 시청,8,0,864,1386,1860,13764,4734,68044,6668,203885,8296,80047,10938,23913,17111,19960,16509,20214,20725,20639,26014,18909,30565,17535,34242,13930,76941,15297,163176,15286,55281,7178,36756,3668,36753,3513,26604,3801,2776,1365,1,55,1,1,0,0,0,0
2호선 을지로입구,71,3,1565,1813,2626,26328,7178,114473,12346,288888,13326,138464,15773,58945,23793,49893,28670,42846,38767,41352,44172,36287,55282,32145,65576,30334,137396,34181,234892,38718,99583,19557,86569,10212,60582,10007,44276,10748,5044,3090,2,1183,0,0,0,0,0,0
2호선 을지로3가,5,0,755,1705,1867,16330,4997,62479,8341,152478,9112,64828,10377,28373,13829,21980,15639,20487,18884,22852,22417,20778,26560,18458,33506,19239,69585,21474,125870,24572,52483,12153,34765,5212,42757,4589,39453,5245,4182,1602,4,136,0,1,0,0,0,0
2호선 을지로4가,2,0,896,1158,1555,11796,2722,31814,5295,78473,6375,41027,8164,22763,11389,19952,13655,17784,15943,18008,19016,16976,22536,14660,26408,12298,48260,10616,67818,10152,32715,5588,16335,2829,13688,2712,10371,3172,1942,1181,1,113,0,0,0,0,0,0
2호선 동대문역사문화공원(DDP),362,2,6743,875,4727,7173,6409,24055,9018,50919,8917,27934,9197,23515,12554,23834,13773,21298,15569,22014,19337,22484,26273,19436,31191,16933,36146,17740,40409,20351,24780,22159,17907,13744,20026,9875,14754,9732,3832,5531,2,404,0,0,0,0,0,0
