지역,절도,장물,사기,횡령,배임,손괴,살인,강도,방화,성폭력,폭행,상해,협박,공갈,약취와 유인,체포와 감금,폭력행위등(손괴강요주거침입등),폭력행위등(단체등의구성 활동),통화,유가증권·인지·우표,문서,인장,직무유기,직권남용,수뢰,증뢰,도박과 복표,신앙,기타음란행위,과실치사상,업무상 과실치사상,실화,명예,권리행사방해,신용업무경매,주거침입,비밀침해,유기,교통방해,공무방해,도주와범인은닉,위증과 증거인멸,무고,공안을 해하는죄,내란의죄,음용수에 관한죄,일수와 수리에 관한죄
서울,42362,164,61178,17648,1489,10723,160,157,252,9370,34070,5079,3950,1138,64,254,163,27,443,85,3468,125,325,595,174,63,1087,124,741,706,533,328,7095,1670,5416,3838,33,152,82,2648,65,746,1428,105,15,3,0
부산,14628,236,27083,4036,478,3846,69,86,97,2065,11263,3748,1504,420,16,64,40,17,29,15,1132,29,141,130,50,16,863,2,190,216,289,132,2784,805,1621,1066,16,8,50,906,29,237,558,16,0,0,0
대구,9272,18,15389,2746,229,2800,42,36,61,1290,7007,2441,955,191,2,85,41,4,22,12,773,22,34,38,21,8,451,4,127,166,127,59,1241,488,954,680,4,3,31,569,38,183,248,4,0,0,1
인천,10149,186,16958,4319,262,3480,51,60,72,2093,12592,1814,1319,425,12,215,52,2,127,13,944,43,121,197,21,15,509,0,246,207,168,102,1677,817,1487,919,9,17,52,1239,28,156,270,2,0,0,0
광주,5018,9,9079,1888,233,1529,22,30,42,855,5351,1153,593,147,4,65,18,5,12,5,604,23,98,72,21,9,215,4,70,66,83,51,861,381,755,381,3,9,22,215,13,100,174,5,0,0,0
대전,5905,15,9583,1336,132,1491,23,25,48,1027,4872,1052,684,168,5,44,18,0,23,3,472,9,36,38,16,7,124,1,104,69,62,50,769,432,543,442,5,5,14,323,15,101,158,1,0,0,1
울산,2181,8,4411,457,70,818,17,14,14,335,2001,764,270,54,1,21,11,1,4,1,162,5,6,14,5,1,144,2,42,35,57,24,280,161,295,197,2,2,21,152,6,10,55,1,0,1,0
세종,850,3,1359,282,20,221,3,0,2,98,381,158,97,15,1,1,1,1,4,1,46,3,15,14,2,0,17,7,7,6,16,8,122,71,54,53,1,0,7,54,0,5,16,2,0,0,0
경기,42015,115,75697,15400,1051,15556,170,187,294,7054,43012,7669,5901,1318,85,369,227,42,218,45,2932,99,121,183,69,28,1943,54,837,757,867,674,6883,2766,6064,4070,35,23,334,2336,48,475,1145,23,0,3,0
강원,4686,20,8340,1175,144,1837,23,26,42,852,3998,1778,657,175,11,53,45,2,17,2,460,20,59,83,20,10,365,19,61,153,182,86,817,401,680,667,1,8,107,416,24,102,203,0,0,1,1
충북,5964,16,9472,1247,152,1917,32,36,55,827,3917,1468,725,179,8,58,12,13,11,2,538,27,38,32,21,6,194,12,72,100,172,136,790,473,563,525,2,2,69,303,8,68,151,1,0,0,1
충남,8253,18,12212,1973,249,2537,46,32,76,1053,4684,2102,818,196,9,59,30,4,42,4,584,25,49,29,13,2,316,13,77,108,163,117,1104,737,790,719,3,4,149,447,20,116,221,1,0,1,2
전북,5839,5,9892,1223,153,1495,43,28,52,940,4912,1532,553,196,5,45,37,44,13,2,557,15,67,82,29,8,337,20,66,70,139,97,886,564,473,516,4,3,63,300,8,101,165,1,1,0,1
전남,5740,9,8345,1479,640,2186,28,27,63,881,5240,1957,864,162,11,48,46,0,9,1,533,53,77,85,25,3,264,39,64,82,230,143,1140,439,712,602,1,5,119,413,16,148,245,0,0,1,0
경북,8857,13,16205,1835,185,2992,39,27,85,1184,6498,2725,1006,304,6,80,50,3,21,2,585,27,70,72,18,5,452,29,92,131,195,136,1203,708,815,777,1,8,114,533,23,119,240,7,0,1,0
경남,12674,84,23797,2983,412,3739,58,53,61,1596,9688,4036,1302,387,15,98,43,3,26,5,999,36,86,82,31,7,701,22,140,201,342,126,1856,928,1359,1004,5,9,119,924,22,177,348,1,0,4,3
제주,3236,6,4593,792,97,1301,21,21,29,509,2429,830,450,99,5,32,19,1,5,2,193,2,22,38,4,2,104,13,60,57,88,64,430,196,526,725,3,2,29,278,1,43,76,1,0,1,0
